City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
13,Carnarvon,AU,82.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
15,Hambantota,LK,76.86,clear sky,6.1241,81.1185,Bungalow 63
18,Cape Town,ZA,89.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
20,Sao Filipe,CV,75.36,clear sky,14.8961,-24.4956,Hotel Xaguate
23,Soyo,AO,84.25,light rain,-6.1349,12.3689,Hotel Mpampa
24,Curuguaty,PY,76.03,heavy intensity rain,-24.4694,-55.6945,La Esquina del Tereré
26,Butaritari,KI,82.49,few clouds,3.0707,172.7902,Isles Sunset Lodge
33,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
35,Port-Gentil,GA,80.37,clear sky,-0.7193,8.7815,Fengshui Residence
44,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
47,Atuona,PF,78.39,few clouds,-9.8,-139.0333,Villa Enata
48,Rikitea,PF,78.58,scattered clouds,-23.1203,-134.9692,People ThankYou
49,Dolores,AR,73.24,moderate rain,-36.3132,-57.6792,Apart Hotel - Arianos
52,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Ahipara,NZ,70.86,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
55,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Hermanus,ZA,88.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
59,Castro,BR,74.91,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
61,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
64,Tra Vinh,VN,78.93,overcast clouds,9.9347,106.3453,Hồng Ân
65,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
66,Itarema,BR,85.78,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
69,Sinnamary,GF,79.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
