City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,59.67,62,100,1.07,overcast clouds
1,Lavrentiya,RU,65.5833,-171.0,-18.74,94,29,8.63,scattered clouds
2,Jamestown,US,42.097,-79.2353,17.24,53,75,5.99,broken clouds
3,Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,light rain
4,Hobart,AU,-42.8794,147.3294,60.03,76,100,4.61,overcast clouds
5,Port Lincoln,AU,-34.7333,135.8667,65.52,80,100,16.13,overcast clouds
6,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,53.82,59,75,8.05,broken clouds
7,Charleston,US,32.7766,-79.9309,51.33,55,0,8.01,clear sky
8,Erenhot,CN,43.6475,111.9767,3.81,88,5,7.14,clear sky
9,Marystown,CA,47.1666,-55.1483,43.86,100,100,15.08,overcast clouds
10,Severo-Kurilsk,RU,50.6789,156.125,28.35,94,100,8.16,snow
11,Madimba,TZ,-10.4,40.3333,81.19,71,88,9.48,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,0,9.22,clear sky
13,Carnarvon,AU,-24.8667,113.6333,82.47,78,22,9.22,few clouds
14,Gat,IL,31.61,34.7642,56.08,100,75,8.23,broken clouds
15,Hambantota,LK,6.1241,81.1185,76.86,76,5,17.27,clear sky
16,Mar Del Plata,AR,-38.0023,-57.5575,67.08,90,100,5.01,light rain
17,Blyth,GB,55.1271,-1.5086,49.33,81,75,8.99,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,89.11,42,0,4.0,clear sky
19,Mataura,NZ,-46.1927,168.8643,40.46,98,15,1.23,few clouds
20,Sao Filipe,CV,14.8961,-24.4956,75.36,66,0,8.48,clear sky
21,Hilo,US,19.7297,-155.09,69.53,89,100,5.75,light rain
22,Carlsbad,US,33.1581,-117.3506,61.39,33,0,1.99,clear sky
23,Soyo,AO,-6.1349,12.3689,84.25,74,55,13.02,light rain
24,Curuguaty,PY,-24.4694,-55.6945,76.03,97,99,3.98,heavy intensity rain
