City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-02-01 13:24:51,-53.15,-70.9167,48.31,61,40,31.07
1,Severo-Kurilsk,RU,2022-02-01 13:21:44,50.6789,156.125,26.29,78,74,4.88
2,Kaitangata,NZ,2022-02-01 13:26:19,-46.2817,169.8464,59.61,98,85,6.46
3,Chokurdakh,RU,2022-02-01 13:16:50,70.6333,147.9167,-15.02,96,100,1.43
4,Chuy,UY,2022-02-01 13:26:20,-33.6971,-53.4616,70.27,46,0,1.05
5,Puerto Ayora,EC,2022-02-01 13:19:16,-0.7393,-90.3518,73.54,93,99,1.01
6,Sapele,NG,2022-02-01 13:26:20,5.8941,5.6767,100.2,15,90,2.01
7,Tuktoyaktuk,CA,2022-02-01 13:17:01,69.4541,-133.0374,-8.86,99,100,6.11
8,Jamestown,US,2022-02-01 13:25:02,42.097,-79.2353,24.39,54,0,5.99
9,Khatanga,RU,2022-02-01 13:18:04,71.9667,102.5,-34.17,100,23,3.83
10,Port Moresby,PG,2022-02-01 13:26:21,-9.4431,147.1797,75.07,90,100,9.6
11,Shenjiamen,CN,2022-02-01 13:26:21,29.9576,122.298,44.44,62,100,16.33
12,Ewa Beach,US,2022-02-01 13:26:22,21.3156,-158.0072,73.35,83,0,3.44
13,Carnarvon,AU,2022-02-01 13:18:03,-24.8667,113.6333,78.87,78,22,19.57
14,Chiang Klang,TH,2022-02-01 13:26:13,19.2938,100.8617,71.6,54,2,0.96
15,Nikolskoye,RU,2022-02-01 13:16:53,59.7035,30.7861,26.49,97,99,3.15
16,Vaini,TO,2022-02-01 13:26:22,-21.2,-175.2,78.96,89,40,3.44
17,Alenquer,BR,2022-02-01 13:26:22,-1.9417,-54.7383,82.74,87,97,3.89
18,Saskylakh,RU,2022-02-01 13:26:23,71.9167,114.0833,-28.01,100,40,2.48
19,Faanui,PF,2022-02-01 13:26:23,-16.4833,-151.75,80.85,75,6,18.68
20,Kilindoni,TZ,2022-02-01 13:26:23,-7.9139,39.6668,83.23,71,100,8.14
21,Torbay,CA,2022-02-01 13:24:23,47.6666,-52.7314,25.39,68,75,17.27
22,Saint-Philippe,RE,2022-02-01 13:26:24,-21.3585,55.7679,87.35,83,43,17.29
23,Albany,US,2022-02-01 13:14:18,42.6001,-73.9662,16.3,87,20,1.54
24,Sorkjosen,NO,2022-02-01 13:26:24,69.8,20.9333,20.44,55,97,11.16
25,Hualmay,PE,2022-02-01 13:26:24,-11.0964,-77.6139,71.17,79,78,5.82
26,Hobart,AU,2022-02-01 13:16:34,-42.8794,147.3294,57.06,61,75,3.0
27,Saint-Augustin,CA,2022-02-01 13:21:46,51.226,-58.6502,-3.39,78,3,15.41
28,Ribeira Grande,PT,2022-02-01 13:26:25,38.5167,-28.7,63.0,72,40,16.11
